player,unreturned_pct,ace_rate,short_point_pct,pressure_serve_win_pct,pressure_return_win_pct,style_cluster,style_label
Aaron Krickstein,0.0,0.04515533638777427,0.21872182674641752,0.5355184374625294,0.3294035433440123,3,Counter-Puncher
Abedallah Shelbayh,0.019087055983607708,0.04891134408375788,0.3142379562207149,0.6216813616962173,0.22485232807813452,3,Counter-Puncher
Adam Pavlasek,0.0,0.10972302752724217,0.3795768429783657,0.6618777921197276,0.33161724638997364,2,All-Court Balanced
Adam Walton,0.010724289715886353,0.03685802656894842,0.25043286013389193,0.668746307455985,0.19963203463203463,3,Counter-Puncher
Adrian Andreev,0.001373476299729987,0.03272045942719314,0.2335141334138337,0.5590239227924528,0.37696518166189813,3,Counter-Puncher
Adrian Garcia,0.03235628008355281,0.04729815638906548,0.26673326673326675,0.5520833333333334,0.45356182795698924,3,Counter-Puncher
Adrian Mannarino,0.025844648783350466,0.05539004758343358,0.2990070391645199,0.6111855633008417,0.35454836788820737,3,Counter-Puncher
Adrian Voinea,0.0,0.08302808302808302,0.32264957264957267,0.6491071428571429,0.2375,2,All-Court Balanced
Adriano Panatta,0.0,0.03916460051097676,0.24037898799823076,0.5690719975947537,0.3537554803199784,3,Counter-Puncher
Adrien Bossel,0.0,0.02242926155969634,0.25587519523446295,0.375,0.075,1,Baseline Grinder
Agustin Calleri,0.0,0.04550264550264551,0.25254375254375255,0.6308080808080808,0.2569444444444444,3,Counter-Puncher
Agustin Velotti,0.0,0.09023569023569024,0.3802078758600498,0.6979166666666666,0.5,2,All-Court Balanced
Aisam Ul Haq Qureshi,0.05964856568222716,0.10225468402667513,0.4412688331392682,0.6685049019607843,0.30145375457875456,0,Big-Serve Aggressor
Akira Santillan,0.0,0.09764309764309764,0.3868847202180536,0.6038043478260869,0.4583333333333333,2,All-Court Balanced
Alan Mackin,0.0,0.0,0.1601317735646094,0.3710918710918711,0.16193181818181818,1,Baseline Grinder
Albano Olivetti,0.0,0.20242721876766534,0.4323063877897117,0.6296296296296297,0.11616161616161617,2,All-Court Balanced
Albert Costa,0.0,0.02798866822772129,0.22605301618049886,0.5941868397709152,0.43523621517824396,3,Counter-Puncher
Albert Montanes,0.0,0.03678076897223903,0.22862412256695375,0.48177528490028493,0.2798916056247434,1,Baseline Grinder
Albert Ramos,0.017286699248144563,0.024773623709154268,0.22335272508010987,0.574380668845163,0.3324216641046993,3,Counter-Puncher
Alberto Berasategui,0.0,0.004775209550419101,0.23300061757212986,0.6753125081183592,0.390879086893053,3,Counter-Puncher
Alberto Mancini,0.0,0.021795527386766236,0.15941767986933197,0.5701437570642293,0.2722099449372177,1,Baseline Grinder
Alberto Martin,0.0,0.0,0.17948717948717952,0.5295751633986928,0.40259856630824375,3,Counter-Puncher
Alejandro Davidovich Fokina,0.03782802869247669,0.03313277152270948,0.27588786773321616,0.5909254127088761,0.38355674870685535,3,Counter-Puncher
Alejandro Falla,0.0,0.0447825844909305,0.2763441838955777,0.5816351887970888,0.23128782981724158,1,Baseline Grinder
Alejandro Gonzalez,0.0,0.09559287714049619,0.31379136185683804,0.681952861952862,0.385123556998557,2,All-Court Balanced
Alejandro Lopez Escribano,0.014148273910582909,0.014148273910582909,0.2892850405583852,0.45625,0.3772139498432602,3,Counter-Puncher
Alejandro Moro Canas,0.0,0.021361179139847947,0.271486737679284,0.6104957869698435,0.3395287788436609,3,Counter-Puncher
Alejandro Tabilo,0.03613002841909361,0.05612021046438936,0.3298644906441486,0.6398863581588339,0.3263174247789272,0,Big-Serve Aggressor
Aleksandar Kovacevic,0.03926040358396388,0.11219575678556963,0.4120275355416201,0.712364000825278,0.329165992630609,2,All-Court Balanced
Aleksandar Vukic,0.04712475145200342,0.10436514027871245,0.3462240925700809,0.5812752654637302,0.2592258730698996,0,Big-Serve Aggressor
Aleksandr Nedovyesov,0.01011904761904762,0.047201462744722304,0.38212247873968197,0.6369565217391304,0.4451884920634921,2,All-Court Balanced
Aleksandre Metreveli,0.0,0.049999999999999996,0.22999999999999998,0.6086890243902439,0.1442495126705653,1,Baseline Grinder
Alessandro Giannessi,0.0,0.026129032258064514,0.2578618322002708,0.4784999128109742,0.31887567535823347,1,Baseline Grinder
Alex Barrena,0.0,0.01579520697167756,0.32037037037037036,0.5193236714975845,0.0,1,Baseline Grinder
Alex Bogdanovic,0.0,0.011704681872749098,0.23313009414292032,0.4538123167155425,0.21309523809523812,1,Baseline Grinder
Alex Bogomolov Jr,0.0,0.0,0.1799983642088905,0.4653846153846154,0.061111111111111116,1,Baseline Grinder
Alex Bolt,0.03958973795930318,0.06995067818866446,0.3274172716320886,0.6377449567167309,0.40257374204742624,0,Big-Serve Aggressor
Alex Corretja,0.007387299500009022,0.04825463340796297,0.24020282583103736,0.5816695237030614,0.38764116118447656,3,Counter-Puncher
Alex De Minaur,0.033709939899533324,0.041834167157820824,0.2714361237540976,0.6215637209466403,0.37960400122233373,3,Counter-Puncher
Alex Kuznetsov,0.10361422743498216,0.061193268740438546,0.31779066802651706,0.5381944444444444,0.28928571428571426,0,Big-Serve Aggressor
Alex Marti Pujolras,0.0,0.03688141923436041,0.20802378922583528,0.4652777777777778,0.3919642857142857,3,Counter-Puncher
Alex Michelsen,0.02299997901329115,0.05570930353683501,0.31564744876118517,0.6354799402533768,0.42714204582450316,3,Counter-Puncher
Alex Molcan,0.019524939603323684,0.04227292520895112,0.25210503714791327,0.6355148350317915,0.29580270516076435,3,Counter-Puncher
Alex Radulescu,0.06540265692698823,0.14775809426388306,0.47434329052984087,0.7474962839093273,0.2142052767052767,0,Big-Serve Aggressor
Alexander Blockx,0.007858187134502924,0.09454010419129584,0.3206604693074405,0.5429971988795519,0.23174603174603176,2,All-Court Balanced
Alexander Bublik,0.0666510464968556,0.13037280452471037,0.40563699154914495,0.6366224892804356,0.32934476515792077,0,Big-Serve Aggressor
Alexander Cozbinov,0.0,0.014658726523133303,0.19126098363386498,0.530895390070922,0.49582943652092587,3,Counter-Puncher
Alexander Popp,0.0,0.07824915824915825,0.37897009308774016,0.645056631586804,0.2845496894409938,2,All-Court Balanced
Alexander Ritschard,0.0,0.014062935115566694,0.2805012531328321,0.49936868686868685,0.11696428571428572,1,Baseline Grinder
Alexander Shevchenko,0.0654831670072774,0.03420068012999982,0.27680621537368577,0.566550101838812,0.3297155609702833,0,Big-Serve Aggressor
Alexander Vasilenko,0.0,0.017824074074074076,0.19346509971509973,0.65625,0.1858974358974359,1,Baseline Grinder
Alexander Volkov,0.0165192827315156,0.05871654519026191,0.32279343860011533,0.6019091695500093,0.39314335582717935,3,Counter-Puncher
Alexander Waske,0.0,0.12600582092107515,0.4942778502100536,0.6041666666666666,0.1875,2,All-Court Balanced
Alexander Zverev,0.04806588468756045,0.0900620513049674,0.3565528219153437,0.6635820341584009,0.355944498062738,0,Big-Serve Aggressor
Alexandr Dolgopolov,0.013041062971504187,0.07645982914903784,0.35931399032042016,0.6201146927500449,0.3399081897790126,2,All-Court Balanced
Alexandre Muller,0.04094466587127686,0.04056064720349872,0.3029036187715323,0.5427406349072844,0.27268682202381656,3,Counter-Puncher
Alexandre Penaud,0.0,0.0,0.22272727272727275,0.5649122807017544,0.3625,3,Counter-Puncher
Alexei Popyrin,0.03994282612021176,0.09645383796296514,0.3755066386819288,0.6180002038516151,0.34326438438920776,0,Big-Serve Aggressor
Alexey Vatutin,0.0,0.0,0.08881578947368422,0.3181818181818182,0.25793650793650796,1,Baseline Grinder
Alexis Galarneau,0.0,0.04668492945490424,0.2721511645331245,0.6543418532185602,0.5310793067226891,3,Counter-Puncher
Aljaz Bedene,0.00869495488696283,0.07265700364946175,0.3106183135864806,0.5824877371388815,0.36229968951558206,3,Counter-Puncher
Altug Celikbilek,0.0,0.037816711590296495,0.19336927223719677,0.6130952380952381,0.33237179487179486,3,Counter-Puncher
Alvaro Guillen Meza,0.0,0.017654472928133595,0.23239420446050157,0.6004541335947343,0.40843254576807214,3,Counter-Puncher
Amir Weintraub,0.010028860028860028,0.010028860028860028,0.29878588844106085,0.6872150455927052,0.2847883597883598,3,Counter-Puncher
Amos Mansdorf,0.0,0.06224616305416614,0.3048112910560006,0.6611111111111111,0.2858877233877234,2,All-Court Balanced
Anders Jarryd,0.0,0.03195352214960058,0.34929193899782135,0.5729114452798664,0.45622119815668205,3,Counter-Puncher
Andre Agassi,0.006056660480047866,0.047875420274679885,0.31158365910390456,0.6445093891037477,0.39039936265477077,3,Counter-Puncher
Andrea Arnaboldi,0.010689762796504368,0.08788937608477208,0.4346853019091989,0.687781954887218,0.07037037037037037,2,All-Court Balanced
Andrea Collarini,0.0,0.05202020202020202,0.26176046176046175,0.8517156862745098,0.3349206349206349,2,All-Court Balanced
Andrea Gaudenzi,0.0,0.010092983028184621,0.18501527978170043,0.6155482278381438,0.385892870299234,3,Counter-Puncher
Andrea Pellegrino,0.0,0.018097420529995887,0.2968685402108138,0.5924568965517242,0.35304217840982544,3,Counter-Puncher
Andrea Vavassori,0.037655569090615466,0.06412784291219206,0.3278412121691709,0.5483609436055088,0.24875432893335708,0,Big-Serve Aggressor
Andreas Haider Maurer,0.006381155825503587,0.06547882241757501,0.3465152220664394,0.6998539381570235,0.23273430054907082,2,All-Court Balanced
Andreas Seppi,0.008595301896031547,0.04156723192174038,0.2832699636353864,0.5833536209382568,0.3092057510300549,3,Counter-Puncher
Andreas Vinciguerra,0.0,0.09339294585196224,0.318524826721548,0.4722437888198758,0.3083778966131907,3,Counter-Puncher
Andrei Cherkasov,0.0,0.016573796379977628,0.15187566329654503,0.5213176316437186,0.44098788638262326,3,Counter-Puncher
Andrei Chesnokov,0.005712426437672928,0.03006864288025456,0.19679960147992784,0.5838810197726279,0.41947241286040665,3,Counter-Puncher
Andrei Medvedev,0.0,0.04707834611136855,0.2565239967797351,0.5617906449700274,0.3655178899388006,3,Counter-Puncher
Andrei Pavel,0.01137706756157355,0.045996183448684023,0.3006505371332825,0.5333116051629112,0.326366740507108,3,Counter-Puncher
Andrei Stoliarov,0.0,0.0,0.2692556102900931,0.6497216599190283,0.24437999422354867,3,Counter-Puncher
Andrej Martin,0.005787037037037037,0.04105238054817886,0.26817242577087214,0.5834847814723976,0.5133729832259244,3,Counter-Puncher
Andres Artunedo,0.0,0.0,0.16912366912366913,0.44800420168067223,0.3333333333333333,1,Baseline Grinder
Andres Gomez,0.006629086181426736,0.06796442349947147,0.3188398799302022,0.6053722528363086,0.3508468305601833,3,Counter-Puncher
Andrew Castle,0.021635138073494237,0.03605856345582373,0.2933184818684948,0.5171048483440632,0.3599937021547191,3,Counter-Puncher
Andrew Foster,0.010411985018726592,0.09370786516853931,0.3917545375972342,0.6329545454545454,0.22787878787878788,2,All-Court Balanced
Andrew Harris,0.0,0.029713924450766555,0.2836573415520784,0.5659075224292616,0.4492481203007519,3,Counter-Puncher
Andrey Golubev,0.012359228522496934,0.058211069352238236,0.3009214553346585,0.5612660965242486,0.2718286539998003,3,Counter-Puncher
Andrey Kuznetsov,0.016913437663588906,0.06738606569788297,0.35898307935699214,0.6575761044511045,0.3674185065165724,2,All-Court Balanced
Andrey Rublev,0.08450422434830103,0.09182421349355663,0.3749362851539238,0.6662462556119426,0.36982463654082687,0,Big-Serve Aggressor
Andy Murray,0.012715265990271325,0.07590013090627197,0.3110784960774355,0.6466429732134628,0.3887722965175381,2,All-Court Balanced
Andy Roddick,0.013611749406105078,0.13018247710483488,0.39581424464906384,0.6678349279944215,0.31164190925069396,2,All-Court Balanced
Ante Pavic,0.05981067125645439,0.16946356855995406,0.40437411019740327,0.7328042328042328,0.101010101010101,0,Big-Serve Aggressor
Antoine Bellier,0.011279248984167017,0.18673517103301818,0.5065077459902663,0.8235576923076924,0.06,2,All-Court Balanced
Antoine Escoffier,0.03598247809762203,0.11211647134675921,0.33595428004063804,0.67734154432524,0.4062777135145556,2,All-Court Balanced
Antoine Hoang,0.0,0.03108991344285462,0.3405001640295758,0.510329131652661,0.3756862745098039,3,Counter-Puncher
Antonio Veic,0.0,0.05843045843045843,0.2729020979020979,0.5705555555555556,0.08173076923076923,1,Baseline Grinder
Aristotelis Thanos,0.0,0.0382968002015621,0.1779472731853684,0.4240131578947368,0.10256410256410256,1,Baseline Grinder
Arklon Huertas Del Pino,0.0,0.012796887796887799,0.15646729617317853,0.505982905982906,0.3699463327370304,3,Counter-Puncher
Arnaud Boetsch,0.0,0.06327985051028247,0.30438930059683256,0.6431277056277056,0.3170163295163295,3,Counter-Puncher
Arnaud Clement,0.006906086630092629,0.039208416474490755,0.2660387231315611,0.5934038475269594,0.38759107890036376,3,Counter-Puncher
Arnaud Di Pasquale,0.0,0.029038112522686024,0.2941923774954628,0.6333333333333333,0.42470760233918126,3,Counter-Puncher
Arthur Ashe,0.007951314854299929,0.06255704423100203,0.4163814875961042,0.6685923644853599,0.31667004132652204,2,All-Court Balanced
Arthur Cazaux,0.03397038867863514,0.10915605320936385,0.3315978267407957,0.6458100520735157,0.2751946962335329,2,All-Court Balanced
Arthur Fery,0.0,0.03649282335603979,0.3573862330056871,0.6543510380017196,0.37927714646464644,3,Counter-Puncher
Arthur Fils,0.1086953768944688,0.07003784831676221,0.3477083775039585,0.6624598932322864,0.36259355431099805,0,Big-Serve Aggressor
Arthur Rinderknech,0.0509351667579672,0.1046914363515428,0.3951482750025823,0.6254238554609862,0.28011605386643396,0,Big-Serve Aggressor
Aslan Karatsev,0.05801046082786029,0.05685388505543907,0.3461941145534413,0.6103569169277728,0.3469249104446707,0,Big-Serve Aggressor
Attila Balazs,0.0,0.027335959072201956,0.2786005301185567,0.5813434356885292,0.2926460287218801,3,Counter-Puncher
Axel Michon,0.0,0.01541926541926542,0.27092862092862097,0.49479166666666663,0.2142857142857143,1,Baseline Grinder
Balazs Taroczy,0.0,0.04117449342168444,0.23335712678325457,0.6504387769093651,0.39533928934624035,3,Counter-Puncher
Baptiste Crepatte,0.008833546189868029,0.0,0.2554062061820683,0.5267166031432335,0.41715185855810855,3,Counter-Puncher
Beibit Zhukayev,0.0,0.23821441115961664,0.4657440162577149,0.6974206349206349,0.3604330963154493,2,All-Court Balanced
Ben Shelton,0.04922635596831761,0.1010363339252943,0.40051414552757025,0.6573713204373222,0.3384817665045975,0,Big-Serve Aggressor
Benjamin Balleret,0.0,0.033022533022533024,0.15604424814951132,0.5431096681096681,0.0,1,Baseline Grinder
Benjamin Becker,0.019506691565515093,0.09242482246613251,0.31944264046459003,0.5755391693626988,0.2869838394294916,2,All-Court Balanced
Benjamin Bonzi,0.03513447137229597,0.0716208406881078,0.3260579775402884,0.6468484318586509,0.30717181290832696,0,Big-Serve Aggressor
Benjamin Hassan,0.0,0.025920542635658916,0.39381459948320413,0.7307900432900434,0.4653846153846154,2,All-Court Balanced
Benoit Paire,0.05878688552992596,0.10176138697767341,0.37870610904872243,0.5969485214974525,0.34353952089057177,0,Big-Serve Aggressor
Bernabe Zapata Miralles,0.008157010450131088,0.030143131406012748,0.21160764085691336,0.6290678401799228,0.41587600704903566,3,Counter-Puncher
Bernard Tomic,0.04531698143330573,0.08283366443042861,0.3462934150122012,0.6259607078707086,0.3010807367199844,0,Big-Serve Aggressor
Bill Scanlon,0.0,0.04013468013468014,0.3025066996495568,0.611517558528428,0.13904671717171718,1,Baseline Grinder
