player_name,date,surface,player_type,player_rank,player_rank_points,r_bp_created_mean,r_bp_converted_mean,r_bp_faced_mean,r_bp_saved_mean,r_bp_conv_rate,r_bp_save_rate,r_win_rate,r_matches_played
Alexander Ritschard,2024-04-01,Clay,Baseline Grinder,194.0,309.0,7.111111111111111,2.3333333333333335,8.222222222222221,5.0,0.328125,0.6081081081081081,0.3333333333333333,9.0
Patrick Kypson,2024-04-01,Clay,All-Court Balanced,133.0,472.0,5.125,2.125,8.0,4.875,0.4146341463414634,0.609375,0.375,8.0
Michael Mmoh,2024-04-01,Clay,Counter-Puncher,123.0,507.0,5.85,2.45,6.7,4.45,0.4188034188034188,0.664179104477612,0.6,20.0
Joao Sousa,2024-04-01,Clay,Counter-Puncher,272.0,209.0,4.95,1.85,8.4,4.7,0.37373737373737376,0.5595238095238095,0.25,20.0
Jurij Rodionov,2024-04-15,Clay,All-Court Balanced,118.0,520.0,6.45,1.65,5.7,3.4,0.2558139534883721,0.5964912280701754,0.4,20.0
Carlos Taberner,2024-04-15,Clay,Counter-Puncher,352.0,144.0,5.0,2.35,7.85,4.65,0.47,0.5923566878980892,0.3,20.0
Facundo Bagnis,2024-04-22,Clay,Counter-Puncher,136.0,460.0,5.5,2.2,7.55,4.5,0.4,0.5960264900662252,0.35,20.0
Francesco Passaro,2024-05-06,Clay,Counter-Puncher,240.0,248.0,4.0588235294117645,1.6470588235294117,6.352941176470588,3.235294117647059,0.4057971014492754,0.5092592592592593,0.35294117647058826,17.0
Giulio Zeppieri,2024-05-27,Clay,All-Court Balanced,148.0,420.0,7.368421052631579,2.6315789473684212,7.894736842105263,4.7894736842105265,0.35714285714285715,0.6066666666666667,0.3157894736842105,19.0
Tim Van Rijthoven,2024-06-10,Grass,All-Court Balanced,,,5.2631578947368425,2.0,5.842105263157895,3.8421052631578947,0.38,0.6576576576576577,0.5263157894736842,19.0
Andy Murray,2024-06-17,Grass,All-Court Balanced,129.0,498.0,5.6,1.85,6.2,3.65,0.33035714285714285,0.5887096774193549,0.35,20.0
Oscar Otte,2024-06-17,Grass,All-Court Balanced,474.0,92.0,5.45,1.9,6.2,3.5,0.3486238532110092,0.5645161290322581,0.3,20.0
Gijs Brouwer,2024-06-24,Grass,Counter-Puncher,190.0,317.0,6.3,1.95,5.65,3.55,0.30952380952380953,0.6283185840707964,0.45,20.0
Liam Broady,2024-07-01,Grass,Counter-Puncher,156.0,384.0,7.5,3.1,8.5,5.15,0.41333333333333333,0.6058823529411764,0.45,20.0
Paul Jubb,2024-07-01,Grass,Counter-Puncher,201.0,301.0,8.625,2.5,6.125,2.75,0.2898550724637681,0.4489795918367347,0.375,8.0
Lloyd Harris,2024-07-01,Grass,All-Court Balanced,118.0,541.0,6.0,1.35,4.9,3.05,0.225,0.6224489795918368,0.35,20.0
Lucas Pouille,2024-07-01,Grass,All-Court Balanced,212.0,284.0,7.7,2.9,9.7,5.8,0.37662337662337664,0.5979381443298969,0.35,20.0
Stefano Napolitano,2024-07-15,Clay,All-Court Balanced,125.0,497.0,8.222222222222221,2.888888888888889,7.333333333333333,4.444444444444445,0.35135135135135137,0.6060606060606061,0.3333333333333333,9.0
Pedro Cachin,2024-07-15,Clay,All-Court Balanced,110.0,568.0,5.35,2.1,8.1,3.8,0.3925233644859813,0.4691358024691358,0.15,20.0
Leandro Riedi,2024-07-15,Clay,Counter-Puncher,134.0,473.0,5.2,1.7,6.6,3.8,0.3269230769230769,0.5757575757575758,0.3,10.0
Juan Pablo Varillas,2024-07-15,Clay,Counter-Puncher,162.0,367.0,5.65,2.5,8.7,5.0,0.4424778761061947,0.5747126436781609,0.3,20.0
Emilio Nava,2024-07-15,Grass,Big-Serve Aggressor,148.0,415.0,3.7058823529411766,1.2941176470588236,7.352941176470588,3.823529411764706,0.3492063492063492,0.52,0.17647058823529413,17.0
Marc Polmans,2024-07-15,Grass,Counter-Puncher,217.0,278.0,8.85,3.45,10.3,6.0,0.3898305084745763,0.5825242718446602,0.3,20.0
Benoit Paire,2024-07-15,Grass,Big-Serve Aggressor,227.0,261.0,5.75,2.1,9.35,5.05,0.3652173913043478,0.5401069518716578,0.2,20.0
Alex Bolt,2024-07-15,Grass,Big-Serve Aggressor,210.0,292.0,6.65,2.25,6.15,3.35,0.3383458646616541,0.5447154471544715,0.4,20.0
Felipe Meligeni Alves,2024-07-15,Clay,Unknown,144.0,427.0,6.142857142857143,2.357142857142857,7.071428571428571,4.285714285714286,0.38372093023255816,0.6060606060606061,0.35714285714285715,14.0
Rudolf Molleker,2024-07-15,Clay,All-Court Balanced,197.0,309.0,4.352941176470588,1.3529411764705883,7.117647058823529,4.235294117647059,0.3108108108108108,0.5950413223140496,0.29411764705882354,17.0
Vit Kopriva,2024-07-22,Clay,Baseline Grinder,113.0,553.0,5.588235294117647,2.764705882352941,7.0,3.2941176470588234,0.49473684210526314,0.47058823529411764,0.35294117647058826,17.0
Nicolas Moreno De Alboran,2024-07-22,Clay,All-Court Balanced,143.0,430.0,4.0,1.3125,5.75,3.75,0.328125,0.6521739130434783,0.375,16.0
Guido Andreozzi,2024-07-22,Clay,Counter-Puncher,406.0,118.0,6.1,2.55,8.55,5.05,0.4180327868852459,0.5906432748538012,0.3,20.0
Filip Misolic,2024-07-22,Clay,Counter-Puncher,228.0,258.0,6.375,2.625,8.125,4.625,0.4117647058823529,0.5692307692307692,0.5,16.0
Enzo Couacaud,2024-07-22,Clay,Counter-Puncher,205.0,292.0,6.9,2.6,9.1,5.4,0.37681159420289856,0.5934065934065934,0.2,10.0
Matthew Ebden,2024-07-29,Clay,Counter-Puncher,,,4.75,2.25,5.5,3.25,0.47368421052631576,0.5909090909090909,0.45,20.0
Milos Raonic,2024-07-29,Clay,All-Court Balanced,177.0,340.0,5.4,1.6,3.85,2.45,0.2962962962962963,0.6363636363636364,0.55,20.0
Robin Haase,2024-07-29,Clay,All-Court Balanced,1199.0,7.0,5.7,2.05,7.05,4.5,0.35964912280701755,0.6382978723404256,0.45,20.0
Andrea Vavassori,2024-07-29,Clay,Big-Serve Aggressor,206.0,291.0,5.15,2.25,7.65,4.95,0.4368932038834951,0.6470588235294118,0.45,20.0
Maxime Cressy,2024-07-29,Hard,Big-Serve Aggressor,173.0,345.0,4.95,1.3,6.6,4.25,0.26262626262626265,0.6439393939393939,0.15,20.0
J J Wolf,2024-07-29,Hard,Big-Serve Aggressor,143.0,436.0,6.15,2.0,8.4,4.55,0.3252032520325203,0.5416666666666666,0.3,20.0
Emil Ruusuvuori,2024-07-29,Hard,Counter-Puncher,71.0,773.0,5.3,2.2,7.3,4.75,0.41509433962264153,0.6506849315068494,0.5,20.0
Daniel Elahi Galan,2024-07-29,Hard,Counter-Puncher,124.0,486.0,6.8,2.25,8.3,4.9,0.33088235294117646,0.5903614457831325,0.3,20.0
